id_evaluacion,id_parte,id_perito,fecha_visita,monto_estimado_dano,dictamen,requiere_reinspeccion
EVA-000001,PAR-000001,PER-0039,2023-09-06,31555.17,Daños constatados consistentes con lo declarado.,True
EVA-000002,PAR-000002,PER-0040,2025-04-04,80153.67,Indicios de preexistencia. Se requiere investigación adicional.,False
EVA-000003,PAR-000003,PER-0038,2024-11-05,32207.42,Daños constatados consistentes con lo declarado.,False
EVA-000004,PAR-000004,PER-0028,2024-11-05,33342.93,Indicios de preexistencia. Se requiere investigación adicional.,False
EVA-000005,PAR-000005,PER-0027,2025-05-05,11137.04,Siniestro verificado. Monto estimado dentro del rango de cobertura.,False
EVA-000006,PAR-000006,PER-0012,2025-02-28,15731.11,Daños totales. Se recomienda indemnización completa.,False
EVA-000007,PAR-000007,PER-0028,2024-11-29,23344.97,Siniestro verificado. Monto estimado dentro del rango de cobertura.,False
EVA-000008,PAR-000008,PER-0024,2025-04-28,25652.82,No se pudieron constatar los daños declarados.,False
EVA-000009,PAR-000009,PER-0037,2025-04-01,39028.81,Siniestro verificado. Monto estimado dentro del rango de cobertura.,False
EVA-000010,PAR-000010,PER-0028,2024-12-04,44059.31,Daños constatados consistentes con lo declarado.,False
EVA-000011,PAR-000011,PER-0027,2024-06-04,29494.59,Daños totales. Se recomienda indemnización completa.,True
EVA-000012,PAR-000012,PER-0023,2024-02-07,40681.57,Indicios de preexistencia. Se requiere investigación adicional.,False
EVA-000013,PAR-000013,PER-0028,2025-07-31,40937.56,Siniestro verificado. Monto estimado dentro del rango de cobertura.,True
EVA-000014,PAR-000014,PER-0003,2024-06-09,48845.72,Daños constatados consistentes con lo declarado.,False
EVA-000015,PAR-000015,PER-0057,2024-07-31,28322.08,Siniestro verificado. Monto estimado dentro del rango de cobertura.,False
EVA-000016,PAR-000016,PER-0041,2025-05-03,3532.07,Se verificaron daños parciales en el bien asegurado.,True
EVA-000017,PAR-000017,PER-0028,2025-03-06,27773.32,Daños verificados parcialmente. Se recomienda pago proporcional.,True
EVA-000018,PAR-000018,PER-0010,2025-05-05,53771.75,Siniestro verificado. Monto estimado dentro del rango de cobertura.,False
EVA-000019,PAR-000019,PER-0032,2025-07-27,28754.36,Daños verificados parcialmente. Se recomienda pago proporcional.,True
EVA-000020,PAR-000020,PER-0002,2025-05-26,42433.19,Indicios de preexistencia. Se requiere investigación adicional.,False
EVA-000021,PAR-000021,PER-0013,2023-10-08,34057.02,Daños totales. Se recomienda indemnización completa.,False
EVA-000022,PAR-000022,PER-0046,2025-08-26,26850.32,Daños verificados parcialmente. Se recomienda pago proporcional.,True
EVA-000023,PAR-000023,PER-0052,2025-04-01,44679.4,No se pudieron constatar los daños declarados.,False
EVA-000024,PAR-000024,PER-0006,2025-12-22,59522.16,Daños totales. Se recomienda indemnización completa.,False
EVA-000025,PAR-000025,PER-0045,2023-11-05,30735.62,No se pudieron constatar los daños declarados.,False
EVA-000026,PAR-000026,PER-0053,2024-07-05,22802.76,Se verificaron daños parciales en el bien asegurado.,False
EVA-000027,PAR-000027,PER-0033,2025-01-27,59640.02,No se pudieron constatar los daños declarados.,False
EVA-000028,PAR-000028,PER-0027,2023-08-09,33099.3,Se verificaron daños parciales en el bien asegurado.,False
EVA-000029,PAR-000029,PER-0026,2023-08-10,38071.6,Daños constatados consistentes con lo declarado.,False
EVA-000030,PAR-000030,PER-0028,2024-12-06,22067.06,Indicios de preexistencia. Se requiere investigación adicional.,False
EVA-000031,PAR-000031,PER-0001,2025-12-31,32344.04,Daños constatados consistentes con lo declarado.,False
EVA-000032,PAR-000032,PER-0019,2026-03-28,56482.24,Daños constatados consistentes con lo declarado.,True
EVA-000033,PAR-000033,PER-0011,2024-10-02,19516.1,Daños verificados parcialmente. Se recomienda pago proporcional.,False
EVA-000034,PAR-000034,PER-0015,2024-01-05,29948.98,Indicios de preexistencia. Se requiere investigación adicional.,False
EVA-000035,PAR-000035,PER-0038,2024-10-03,1228.35,Se verificaron daños parciales en el bien asegurado.,False
