id_garantia,id_poliza,tipo_garantia,suma_garantizada,activa
GAR-0000001,POL-000001,Daño propio,2727852.51,True
GAR-0000002,POL-000001,Robo total,1086284.1,True
GAR-0000003,POL-000001,Robo parcial,4938566.6,True
GAR-0000004,POL-000001,Incendio,1881813.27,True
GAR-0000005,POL-000002,Incendio,2116151.91,True
GAR-0000006,POL-000002,Robo parcial,1306695.2,True
GAR-0000007,POL-000003,Granizo,3523560.57,True
GAR-0000008,POL-000003,Daño propio,1298271.91,True
GAR-0000009,POL-000003,Responsabilidad civil,6729058.68,True
GAR-0000010,POL-000003,Incendio,8147944.19,True
GAR-0000011,POL-000004,Robo total,3785246.67,True
GAR-0000012,POL-000004,Granizo,5254754.97,True
GAR-0000013,POL-000004,Robo parcial,7159412.04,True
GAR-0000014,POL-000004,Asistencia en ruta,2807386.65,True
GAR-0000015,POL-000004,Daño propio,9540744.91,True
GAR-0000016,POL-000005,Incendio,1057082.87,True
GAR-0000017,POL-000005,Robo total,3239690.15,True
GAR-0000018,POL-000005,Granizo,1103292.54,True
GAR-0000019,POL-000005,Asistencia en ruta,1271541.46,True
GAR-0000020,POL-000006,Incendio,1627105.33,True
GAR-0000021,POL-000006,Daño propio,3848863.14,True
GAR-0000022,POL-000006,Robo parcial,5909340.25,True
GAR-0000023,POL-000006,Granizo,2211760.85,True
GAR-0000024,POL-000006,Robo total,1648465.0,True
GAR-0000025,POL-000007,Responsabilidad civil,2012276.09,True
GAR-0000026,POL-000007,Daño propio,3822892.11,True
GAR-0000027,POL-000007,Robo parcial,5689583.76,True
GAR-0000028,POL-000007,Asistencia en ruta,1414571.47,True
GAR-0000029,POL-000007,Robo total,842916.31,True
GAR-0000030,POL-000008,Incendio,5781753.5,True
GAR-0000031,POL-000008,Asistencia en ruta,8463493.63,True
GAR-0000032,POL-000009,Asistencia en ruta,2668782.31,True
GAR-0000033,POL-000009,Incendio,1674183.19,True
GAR-0000034,POL-000010,Responsabilidad civil,5238993.12,True
GAR-0000035,POL-000010,Granizo,8671936.99,True
GAR-0000036,POL-000010,Daño propio,5154282.77,True
GAR-0000037,POL-000010,Incendio,1516001.8,True
GAR-0000038,POL-000010,Robo total,5927542.8,True
GAR-0000039,POL-000011,Asistencia en ruta,3190215.33,True
GAR-0000040,POL-000011,Daño propio,1064316.77,True
GAR-0000041,POL-000012,Responsabilidad civil,3608725.52,True
GAR-0000042,POL-000012,Robo parcial,4111916.28,True
GAR-0000043,POL-000012,Incendio,5555506.1,True
GAR-0000044,POL-000013,Incendio,8498917.59,True
GAR-0000045,POL-000013,Robo parcial,4327688.91,True
GAR-0000046,POL-000013,Daño propio,4095197.36,True
GAR-0000047,POL-000013,Robo total,10252191.45,True
GAR-0000048,POL-000014,Incendio,2486756.26,True
GAR-0000049,POL-000014,Daño propio,6417904.63,True
GAR-0000050,POL-000015,Daño propio,3506758.77,True
GAR-0000051,POL-000015,Asistencia en ruta,5433591.0,True
GAR-0000052,POL-000015,Granizo,6041719.05,True
GAR-0000053,POL-000015,Incendio,4222550.66,True
GAR-0000054,POL-000015,Robo total,3748002.88,True
GAR-0000055,POL-000016,Daño propio,2440673.5,True
GAR-0000056,POL-000016,Granizo,4933002.82,True
GAR-0000057,POL-000016,Responsabilidad civil,1065435.53,True
GAR-0000058,POL-000016,Incendio,4832743.79,True
GAR-0000059,POL-000016,Robo parcial,2874567.17,True
GAR-0000060,POL-000017,Granizo,3370591.25,True
GAR-0000061,POL-000017,Robo parcial,6092673.44,True
GAR-0000062,POL-000018,Asistencia en ruta,1339076.69,True
GAR-0000063,POL-000018,Robo total,3660963.01,True
GAR-0000064,POL-000019,Incendio,2375925.64,True
GAR-0000065,POL-000019,Responsabilidad civil,1600418.48,True
GAR-0000066,POL-000019,Granizo,1316854.84,True
GAR-0000067,POL-000019,Asistencia en ruta,1736230.96,True
GAR-0000068,POL-000020,Responsabilidad civil,7687180.14,True
GAR-0000069,POL-000020,Daño propio,4406358.27,True
GAR-0000070,POL-000020,Asistencia en ruta,3855297.15,True
GAR-0000071,POL-000021,Asistencia en ruta,6262561.14,True
GAR-0000072,POL-000021,Robo parcial,4718646.34,True
GAR-0000073,POL-000022,Robo total,4017779.52,True
GAR-0000074,POL-000022,Robo parcial,1965491.82,True
GAR-0000075,POL-000023,Asistencia en ruta,4088533.39,True
GAR-0000076,POL-000023,Incendio,3962520.36,True
GAR-0000077,POL-000023,Granizo,6003342.02,True
GAR-0000078,POL-000023,Robo parcial,5053685.34,True
GAR-0000079,POL-000023,Responsabilidad civil,3714710.17,True
GAR-0000080,POL-000024,Daño propio,5525480.61,True
GAR-0000081,POL-000024,Robo parcial,3563135.17,True
GAR-0000082,POL-000024,Robo total,2553045.99,True
GAR-0000083,POL-000024,Asistencia en ruta,6540434.59,True
GAR-0000084,POL-000024,Responsabilidad civil,5537558.44,True
GAR-0000085,POL-000025,Incendio,5650416.25,True
GAR-0000086,POL-000025,Asistencia en ruta,3308517.63,True
GAR-0000087,POL-000025,Robo total,2980996.78,True
GAR-0000088,POL-000026,Robo parcial,876415.79,True
GAR-0000089,POL-000026,Incendio,2941029.21,True
GAR-0000090,POL-000027,Incendio,1449550.38,True
GAR-0000091,POL-000027,Asistencia en ruta,6692125.8,True
GAR-0000092,POL-000027,Robo total,1711930.39,True
GAR-0000093,POL-000027,Responsabilidad civil,6630893.28,True
GAR-0000094,POL-000027,Robo parcial,6214285.37,True
GAR-0000095,POL-000028,Robo parcial,1697352.79,True
GAR-0000096,POL-000028,Robo total,7135441.7,True
GAR-0000097,POL-000028,Incendio,6492286.24,True
GAR-0000098,POL-000029,Daño propio,9300915.56,True
GAR-0000099,POL-000029,Responsabilidad civil,1623556.95,True
GAR-0000100,POL-000029,Granizo,9980671.69,True
GAR-0000101,POL-000029,Incendio,4645869.84,True
GAR-0000102,POL-000029,Robo total,5654731.42,True
GAR-0000103,POL-000030,Asistencia en ruta,1273056.13,True
GAR-0000104,POL-000030,Incendio,6383938.52,True
GAR-0000105,POL-000030,Granizo,5672683.42,True
GAR-0000106,POL-000030,Responsabilidad civil,6010479.16,True
GAR-0000107,POL-000030,Robo parcial,3928450.17,True
GAR-0000108,POL-000031,Incendio,1055608.55,True
GAR-0000109,POL-000031,Robo total,4956722.22,True
GAR-0000110,POL-000032,Robo total,11582613.78,True
GAR-0000111,POL-000032,Robo parcial,8428546.61,True
GAR-0000112,POL-000032,Responsabilidad civil,15690239.71,True
GAR-0000113,POL-000033,Robo total,5224883.8,True
GAR-0000114,POL-000033,Responsabilidad civil,5562131.65,True
GAR-0000115,POL-000033,Incendio,5706796.76,True
GAR-0000116,POL-000034,Asistencia en ruta,5414066.31,True
GAR-0000117,POL-000034,Robo total,1768555.18,True
GAR-0000118,POL-000034,Granizo,4303639.73,True
GAR-0000119,POL-000034,Daño propio,4380107.78,True
GAR-0000120,POL-000034,Incendio,5894370.97,True
GAR-0000121,POL-000035,Asistencia en ruta,1013001.93,True
GAR-0000122,POL-000035,Robo parcial,3812343.15,True
GAR-0000123,POL-000035,Incendio,3150526.68,True
GAR-0000124,POL-000035,Daño propio,1701185.14,True
GAR-0000125,POL-000036,Asistencia en ruta,3476554.98,True
GAR-0000126,POL-000036,Daño propio,1013440.05,True
GAR-0000127,POL-000037,Incendio,5365073.0,True
GAR-0000128,POL-000037,Granizo,8033022.1,True
GAR-0000129,POL-000037,Robo total,4007378.24,True
GAR-0000130,POL-000038,Robo total,8409708.16,True
GAR-0000131,POL-000038,Robo parcial,5290756.7,True
GAR-0000132,POL-000038,Daño propio,3856647.48,True
GAR-0000133,POL-000038,Asistencia en ruta,5784662.69,True
GAR-0000134,POL-000039,Robo total,7653200.95,True
GAR-0000135,POL-000039,Incendio,2441164.71,True
GAR-0000136,POL-000039,Granizo,3721375.08,True
GAR-0000137,POL-000039,Asistencia en ruta,5200798.06,True
GAR-0000138,POL-000039,Robo parcial,6451480.59,True
GAR-0000139,POL-000040,Responsabilidad civil,3728683.65,True
GAR-0000140,POL-000040,Robo parcial,3612680.08,True
GAR-0000141,POL-000040,Asistencia en ruta,4738133.65,True
GAR-0000142,POL-000040,Incendio,1747501.64,True
GAR-0000143,POL-000040,Robo total,1058448.37,True
GAR-0000144,POL-000041,Robo total,1158647.04,True
GAR-0000145,POL-000041,Robo parcial,4090116.5,True
GAR-0000146,POL-000041,Daño propio,1700180.73,True
GAR-0000147,POL-000041,Incendio,6448809.22,True
GAR-0000148,POL-000042,Granizo,3776295.46,True
GAR-0000149,POL-000042,Robo parcial,6772387.39,True
GAR-0000150,POL-000042,Robo total,2253147.86,True
GAR-0000151,POL-000042,Daño propio,1443817.07,True
GAR-0000152,POL-000042,Asistencia en ruta,3886257.55,True
GAR-0000153,POL-000043,Incendio,5187309.17,True
GAR-0000154,POL-000043,Granizo,2004770.52,True
GAR-0000155,POL-000043,Responsabilidad civil,5583056.37,True
GAR-0000156,POL-000043,Daño propio,6442605.9,True
GAR-0000157,POL-000043,Robo total,1199488.64,True
GAR-0000158,POL-000044,Daño propio,6374964.64,True
GAR-0000159,POL-000044,Robo parcial,9438858.15,True
GAR-0000160,POL-000044,Responsabilidad civil,7657883.19,True
GAR-0000161,POL-000044,Incendio,5753716.43,True
GAR-0000162,POL-000044,Granizo,3272059.65,True
GAR-0000163,POL-000045,Robo parcial,934255.72,True
GAR-0000164,POL-000045,Asistencia en ruta,3318517.03,True
GAR-0000165,POL-000045,Incendio,5291817.38,True
GAR-0000166,POL-000045,Granizo,2248243.29,True
GAR-0000167,POL-000046,Granizo,13840731.04,True
GAR-0000168,POL-000046,Asistencia en ruta,6080227.78,True
GAR-0000169,POL-000046,Incendio,5986308.37,True
GAR-0000170,POL-000046,Robo parcial,9642149.99,True
GAR-0000171,POL-000046,Responsabilidad civil,4511216.29,True
GAR-0000172,POL-000047,Asistencia en ruta,3406264.06,True
GAR-0000173,POL-000047,Daño propio,5181088.66,True
GAR-0000174,POL-000047,Robo total,5939099.07,True
GAR-0000175,POL-000047,Granizo,1780385.1,True
GAR-0000176,POL-000047,Incendio,3781910.2,True
GAR-0000177,POL-000048,Responsabilidad civil,4993833.04,True
GAR-0000178,POL-000048,Asistencia en ruta,2419488.02,True
GAR-0000179,POL-000049,Robo parcial,4144289.55,True
GAR-0000180,POL-000049,Responsabilidad civil,4866133.73,True
GAR-0000181,POL-000049,Granizo,5330009.91,True
GAR-0000182,POL-000050,Granizo,2025847.1,True
GAR-0000183,POL-000050,Asistencia en ruta,1846036.08,True
GAR-0000184,POL-000051,Asistencia en ruta,5080197.33,True
GAR-0000185,POL-000051,Daño propio,2393930.77,True
GAR-0000186,POL-000051,Robo total,2943111.28,True
GAR-0000187,POL-000051,Robo parcial,8681731.15,True
GAR-0000188,POL-000052,Robo total,2320880.42,True
GAR-0000189,POL-000052,Granizo,6274786.64,True
GAR-0000190,POL-000052,Incendio,2789567.83,True
GAR-0000191,POL-000052,Daño propio,1620160.85,True
GAR-0000192,POL-000053,Incendio,6497480.73,True
GAR-0000193,POL-000053,Granizo,1783352.24,True
GAR-0000194,POL-000053,Robo parcial,3979821.57,True
GAR-0000195,POL-000053,Asistencia en ruta,4100096.42,True
GAR-0000196,POL-000053,Daño propio,2372405.54,True
GAR-0000197,POL-000054,Asistencia en ruta,4877948.22,True
GAR-0000198,POL-000054,Robo parcial,2280988.64,True
GAR-0000199,POL-000054,Daño propio,3627990.56,True
GAR-0000200,POL-000055,Robo total,6357723.26,True
GAR-0000201,POL-000055,Robo parcial,8757595.65,True
GAR-0000202,POL-000055,Granizo,6717782.01,True
GAR-0000203,POL-000056,Robo total,3660807.88,True
GAR-0000204,POL-000056,Robo parcial,7185736.78,True
GAR-0000205,POL-000056,Responsabilidad civil,5608640.69,True
GAR-0000206,POL-000056,Asistencia en ruta,3548700.96,True
GAR-0000207,POL-000057,Robo parcial,5364140.91,True
GAR-0000208,POL-000057,Granizo,932497.66,True
GAR-0000209,POL-000057,Daño propio,2799538.82,True
GAR-0000210,POL-000057,Incendio,841378.36,True
GAR-0000211,POL-000057,Asistencia en ruta,1311988.73,True
GAR-0000212,POL-000058,Daño propio,3028970.85,True
GAR-0000213,POL-000058,Responsabilidad civil,1980969.29,True
GAR-0000214,POL-000058,Asistencia en ruta,4475942.26,True
GAR-0000215,POL-000058,Incendio,1708828.93,True
GAR-0000216,POL-000059,Robo parcial,10722085.1,True
GAR-0000217,POL-000059,Asistencia en ruta,5134375.24,True
GAR-0000218,POL-000060,Robo total,7101568.03,True
GAR-0000219,POL-000060,Asistencia en ruta,4099570.12,True
GAR-0000220,POL-000060,Robo parcial,9998771.84,True
GAR-0000221,POL-000060,Granizo,9357239.34,True
GAR-0000222,POL-000061,Granizo,1009472.44,True
GAR-0000223,POL-000061,Robo total,4606998.72,True
GAR-0000224,POL-000061,Asistencia en ruta,1073647.57,True
GAR-0000225,POL-000062,Robo total,9046741.43,True
GAR-0000226,POL-000062,Responsabilidad civil,4315763.12,True
GAR-0000227,POL-000062,Daño propio,9193934.34,True
GAR-0000228,POL-000062,Granizo,5896772.42,True
GAR-0000229,POL-000062,Robo parcial,1575144.02,True
GAR-0000230,POL-000063,Granizo,2005648.52,True
GAR-0000231,POL-000063,Asistencia en ruta,6384148.86,True
GAR-0000232,POL-000063,Incendio,2695914.86,True
GAR-0000233,POL-000064,Asistencia en ruta,8054088.33,True
GAR-0000234,POL-000064,Robo parcial,5489342.28,True
GAR-0000235,POL-000064,Daño propio,9299486.52,True
GAR-0000236,POL-000065,Asistencia en ruta,3057176.25,True
GAR-0000237,POL-000065,Responsabilidad civil,3498402.42,True
GAR-0000238,POL-000065,Granizo,1972385.58,True
GAR-0000239,POL-000065,Robo total,4278089.31,True
GAR-0000240,POL-000066,Robo total,3271430.3,True
GAR-0000241,POL-000066,Daño propio,5260385.46,True
GAR-0000242,POL-000066,Granizo,1178834.06,True
GAR-0000243,POL-000066,Robo parcial,5511488.44,True
GAR-0000244,POL-000066,Incendio,4352139.43,True
GAR-0000245,POL-000067,Incendio,7487632.8,True
GAR-0000246,POL-000067,Responsabilidad civil,6594714.98,True
GAR-0000247,POL-000068,Asistencia en ruta,1988563.22,True
GAR-0000248,POL-000068,Robo total,4585541.76,True
GAR-0000249,POL-000068,Daño propio,6235267.99,True
GAR-0000250,POL-000068,Responsabilidad civil,7232221.59,True
