id_indicador,id_parte,tipo_alerta,score_fraude,descripcion,fecha_deteccion,revisado,confirmado_fraude
FRD-000001,PAR-000006,Denunciante ≠ receptor de pago,83,Alerta automática: Denunciante ≠ receptor de pago,2025-02-24,False,False
FRD-000002,PAR-000007,Denunciante ≠ receptor de pago,62,Alerta automática: Denunciante ≠ receptor de pago,2024-11-26,False,False
FRD-000003,PAR-000007,Monto reclamado supera suma garantizada,51,Alerta automática: Monto reclamado supera suma garantizada,2024-11-26,False,False
FRD-000004,PAR-000013,Denunciante ≠ receptor de pago,80,Alerta automática: Denunciante ≠ receptor de pago,2025-07-24,True,False
FRD-000005,PAR-000015,Denunciante ≠ receptor de pago,82,Alerta automática: Denunciante ≠ receptor de pago,2024-07-29,False,False
FRD-000006,PAR-000020,Denunciante ≠ receptor de pago,85,Alerta automática: Denunciante ≠ receptor de pago,2025-05-25,False,True
FRD-000007,PAR-000029,Siniestro en póliza reciente (< 3 meses),66,Alerta automática: Siniestro en póliza reciente (< 3 meses),2023-08-04,True,True
FRD-000008,PAR-000030,Denunciante ≠ receptor de pago,77,Alerta automática: Denunciante ≠ receptor de pago,2024-11-26,False,False
FRD-000009,PAR-000031,Denunciante ≠ receptor de pago,65,Alerta automática: Denunciante ≠ receptor de pago,2025-12-21,False,True
FRD-000010,PAR-000032,Denunciante ≠ receptor de pago,60,Alerta automática: Denunciante ≠ receptor de pago,2026-03-21,False,False
FRD-000011,PAR-000036,Denunciante ≠ receptor de pago,75,Alerta automática: Denunciante ≠ receptor de pago,2025-05-25,False,False
FRD-000012,PAR-000043,Parte reportado justo antes del vencimiento,69,Alerta automática: Parte reportado justo antes del vencimiento,2025-04-25,True,False
FRD-000013,PAR-000047,Denunciante ≠ receptor de pago,71,Alerta automática: Denunciante ≠ receptor de pago,2025-09-22,False,False
FRD-000014,PAR-000050,Denunciante ≠ receptor de pago,66,Alerta automática: Denunciante ≠ receptor de pago,2025-05-25,False,False
FRD-000015,PAR-000051,Denunciante ≠ receptor de pago,70,Alerta automática: Denunciante ≠ receptor de pago,2026-03-21,False,False
FRD-000016,PAR-000054,Denunciante ≠ receptor de pago,67,Alerta automática: Denunciante ≠ receptor de pago,2024-09-27,True,False
FRD-000017,PAR-000058,Denunciante ≠ receptor de pago,81,Alerta automática: Denunciante ≠ receptor de pago,2023-12-02,True,False
FRD-000018,PAR-000062,Denunciante ≠ receptor de pago,69,Alerta automática: Denunciante ≠ receptor de pago,2025-12-21,False,False
FRD-000019,PAR-000064,Denunciante ≠ receptor de pago,89,Alerta automática: Denunciante ≠ receptor de pago,2024-04-30,False,False
FRD-000020,PAR-000065,Denunciante ≠ receptor de pago,64,Alerta automática: Denunciante ≠ receptor de pago,2024-07-29,False,False
FRD-000021,PAR-000067,Perito con alta tasa de aprobación,80,Alerta automática: Perito con alta tasa de aprobación,2025-09-22,False,False
FRD-000022,PAR-000077,Monto reclamado supera suma garantizada,74,Alerta automática: Monto reclamado supera suma garantizada,2024-11-26,False,False
FRD-000023,PAR-000082,Denunciante ≠ receptor de pago,63,Alerta automática: Denunciante ≠ receptor de pago,2024-05-30,False,False
FRD-000024,PAR-000084,Denunciante ≠ receptor de pago,76,Alerta automática: Denunciante ≠ receptor de pago,2023-06-05,False,False
FRD-000025,PAR-000089,Denunciante ≠ receptor de pago,82,Alerta automática: Denunciante ≠ receptor de pago,2025-03-26,False,False
FRD-000026,PAR-000104,Denunciante ≠ receptor de pago,88,Alerta automática: Denunciante ≠ receptor de pago,2025-07-24,False,False
FRD-000027,PAR-000107,Múltiples partes en corto período,66,Alerta automática: Múltiples partes en corto período,2025-03-26,False,False
FRD-000028,PAR-000123,Denunciante ≠ receptor de pago,76,Alerta automática: Denunciante ≠ receptor de pago,2024-11-26,False,False
FRD-000029,PAR-000126,Denunciante ≠ receptor de pago,88,Alerta automática: Denunciante ≠ receptor de pago,2025-06-24,False,False
FRD-000030,PAR-000127,Perito con alta tasa de aprobación,74,Alerta automática: Perito con alta tasa de aprobación,2024-08-28,False,False
FRD-000031,PAR-000129,Denunciante ≠ receptor de pago,83,Alerta automática: Denunciante ≠ receptor de pago,2025-03-26,True,False
FRD-000032,PAR-000136,Denunciante ≠ receptor de pago,85,Alerta automática: Denunciante ≠ receptor de pago,2025-10-22,False,False
FRD-000033,PAR-000137,Siniestro en póliza reciente (< 3 meses),53,Alerta automática: Siniestro en póliza reciente (< 3 meses),2025-11-21,False,False
FRD-000034,PAR-000145,Denunciante ≠ receptor de pago,76,Alerta automática: Denunciante ≠ receptor de pago,2023-10-03,False,False
FRD-000035,PAR-000147,Denunciante ≠ receptor de pago,75,Alerta automática: Denunciante ≠ receptor de pago,2025-09-22,False,False
FRD-000036,PAR-000148,Denunciante ≠ receptor de pago,94,Alerta automática: Denunciante ≠ receptor de pago,2024-04-30,False,False
FRD-000037,PAR-000152,Denunciante ≠ receptor de pago,70,Alerta automática: Denunciante ≠ receptor de pago,2023-12-02,False,False
