id_pago,id_parte,id_receptor,monto_pagado,fecha_pago,metodo_pago,cuota,total_cuotas
PAG-0000001,PAR-000001,CLI-00001,10106.84,2023-11-02,Débito automático,1,3
PAG-0000002,PAR-000001,CLI-00001,10196.42,2023-11-09,Cheque,2,3
PAG-0000003,PAR-000001,CLI-00001,10034.82,2023-11-16,Débito automático,3,3
PAG-0000004,PAR-000002,CLI-00002,26024.65,2025-06-02,Cheque,1,3
PAG-0000005,PAR-000002,CLI-00002,27383.16,2025-06-09,Débito automático,2,3
PAG-0000006,PAR-000002,CLI-00002,27595.73,2025-06-16,Cheque,3,3
PAG-0000007,PAR-000003,CLI-00003,32338.6,2025-02-07,Cheque,1,1
PAG-0000008,PAR-000004,CLI-00004,34872.54,2025-01-12,Cheque,1,1
PAG-0000009,PAR-000005,CLI-00005,10894.71,2025-07-04,Transferencia,1,1
PAG-0000010,PAR-000006,CLI-05657,15466.47,2025-05-30,Transferencia,1,1
PAG-0000011,PAR-000007,CLI-08082,24416.94,2025-01-24,Débito automático,1,1
PAG-0000012,PAR-000008,CLI-00008,25404.57,2025-05-11,Débito automático,1,1
PAG-0000013,PAR-000009,CLI-00009,19602.68,2025-06-28,Cheque,1,2
PAG-0000014,PAR-000009,CLI-00009,19840.85,2025-07-05,Cheque,2,2
PAG-0000015,PAR-000010,CLI-00010,45037.07,2025-02-20,Débito automático,1,1
PAG-0000016,PAR-000011,CLI-00011,9423.26,2024-06-09,Cheque,1,3
PAG-0000017,PAR-000011,CLI-00011,9410.5,2024-06-16,Débito automático,2,3
PAG-0000018,PAR-000011,CLI-00011,10250.76,2024-06-23,Cheque,3,3
PAG-0000019,PAR-000012,CLI-00012,39789.29,2024-03-05,Transferencia,1,1
PAG-0000020,PAR-000013,CLI-04972,19581.95,2025-08-23,Transferencia,1,2
PAG-0000021,PAR-000013,CLI-04972,19536.51,2025-08-30,Cheque,2,2
PAG-0000022,PAR-000014,CLI-00014,16307.52,2024-07-15,Débito automático,1,3
PAG-0000023,PAR-000014,CLI-00014,15904.34,2024-07-22,Débito automático,2,3
