id_parte,id_poliza,id_objeto_asegurado,id_perito,id_denunciante,id_receptor_pago,fecha_apertura,fecha_cierre,tipo_siniestro,estado,monto_reclamado,tipo_seguro,dias_resolucion
PAR-000001,POL-000001,OBJ-000001,PER-0039,CLI-00001,CLI-00001,2023-09-03,2023-10-28,Robo total,Cerrado,37676.73,Automóvil,55
PAR-000002,POL-000002,OBJ-000002,PER-0040,CLI-00002,CLI-00002,2025-03-26,2025-05-19,Robo parcial,Cerrado,112510.41,Automóvil,54
PAR-000003,POL-000003,OBJ-000003,PER-0038,CLI-00003,CLI-00003,2024-10-27,2025-01-25,Incendio,Cerrado,51411.04,Automóvil,90
PAR-000004,POL-000004,OBJ-000004,PER-0028,CLI-00004,CLI-00004,2024-10-27,2024-12-30,Granizo,Cerrado,49864.67,Automóvil,64
PAR-000005,POL-000005,OBJ-000005,PER-0027,CLI-00005,CLI-00005,2025-04-25,2025-07-03,Choque,Cerrado,14478.68,Automóvil,69
PAR-000006,POL-000006,OBJ-000006,PER-0012,CLI-00006,CLI-05657,2025-02-24,2025-05-18,Incendio,Cerrado,17330.75,Automóvil,83
PAR-000007,POL-000007,OBJ-000007,PER-0028,CLI-00007,CLI-08082,2024-11-26,2025-01-17,Robo total,Cerrado,31844.77,Automóvil,52
PAR-000008,POL-000008,OBJ-000008,PER-0024,CLI-00008,CLI-00008,2025-04-25,2025-05-01,Robo total,Cerrado,33025.54,Automóvil,6
PAR-000009,POL-000009,OBJ-000009,PER-0037,CLI-00009,CLI-00009,2025-03-26,2025-06-15,Robo total,Cerrado,51382.09,Automóvil,81
PAR-000010,POL-000010,OBJ-000010,PER-0028,CLI-00010,CLI-00010,2024-11-26,2025-02-06,Incendio,Cerrado,44834.95,Automóvil,72
PAR-000011,POL-000011,OBJ-000011,PER-0027,CLI-00011,CLI-00011,2024-05-30,2024-06-08,Robo parcial,Cerrado,45833.21,Automóvil,9
PAR-000012,POL-000012,OBJ-000012,PER-0023,CLI-00012,CLI-00012,2024-01-31,2024-02-19,Choque,Cerrado,48103.54,Automóvil,19
PAR-000013,POL-000013,OBJ-000013,PER-0028,CLI-00013,CLI-04972,2025-07-24,2025-08-16,Responsabilidad civil,Cerrado,50910.79,Automóvil,23
PAR-000014,POL-000014,OBJ-000014,PER-0003,CLI-00014,CLI-00014,2024-05-30,2024-07-09,Granizo,Cerrado,54492.92,Automóvil,40
PAR-000015,POL-000015,OBJ-000015,PER-0057,CLI-00015,CLI-04018,2024-07-29,2024-08-01,Choque,Cerrado,30920.52,Automóvil,3
PAR-000016,POL-000016,OBJ-000016,PER-0041,CLI-00016,CLI-00016,2025-04-25,2025-07-23,Responsabilidad civil,Cerrado,4520.49,Automóvil,89
PAR-000017,POL-000017,OBJ-000017,PER-0028,CLI-00017,CLI-00017,2025-02-24,2025-04-26,Choque,Cerrado,42093.46,Automóvil,61
PAR-000018,POL-000018,OBJ-000018,PER-0010,CLI-00018,CLI-00018,2025-04-25,2025-07-10,Granizo,Cerrado,62198.24,Automóvil,76
