id_poliza,id_cliente,id_agente,id_objeto_asegurado,id_asegurado,tipo_seguro,cobertura,tipo_poliza,canal_venta,fecha_alta,vigencia_desde,vigencia_hasta,prima_mensual,prima_total,estado,numero_polizas_cliente,meses_desde_inicio,customer_lifetime_value
POL-000001,CLI-00001,AGE-0064,OBJ-000001,CLI-00001,Automóvil,Básica,Corporate Auto,Agente,2011-02-24,2011-02-24,2012-02-24,6900.0,82800.0,Activa,1,5,2763.52
POL-000002,CLI-00002,AGE-0041,OBJ-000002,CLI-00002,Automóvil,Extendida,Personal Auto,Agente,2011-01-31,2011-01-31,2012-01-31,9400.0,112800.0,Activa,8,42,6979.54
POL-000003,CLI-00003,AGE-0078,OBJ-000003,CLI-00003,Automóvil,Premium,Personal Auto,Agente,2011-02-19,2011-02-19,2012-02-19,10800.0,129600.0,Activa,2,38,12887.43
POL-000004,CLI-00004,AGE-0042,OBJ-000004,CLI-00004,Automóvil,Básica,Corporate Auto,Call Center,2011-01-20,2011-01-20,2012-01-20,10600.0,127200.0,Activa,7,65,7645.86
POL-000005,CLI-00005,AGE-0051,OBJ-000005,CLI-00005,Automóvil,Básica,Personal Auto,Agente,2018-04-06,2018-04-06,2019-04-06,7300.0,87600.0,Activa,1,44,2813.69
POL-000006,CLI-00006,AGE-0024,OBJ-000006,CLI-00006,Automóvil,Básica,Personal Auto,Web,2011-01-25,2011-01-25,2012-01-25,6900.0,82800.0,Activa,2,94,8256.3
POL-000007,CLI-00007,AGE-0033,OBJ-000007,CLI-00007,Automóvil,Básica,Corporate Auto,Agente,2011-02-24,2011-02-24,2012-02-24,6700.0,80400.0,Activa,9,13,5380.9
POL-000008,CLI-00008,AGE-0038,OBJ-000008,CLI-00008,Automóvil,Premium,Corporate Auto,Agente,2011-01-18,2011-01-18,2012-01-18,10100.0,121200.0,Baja,4,68,7216.1
POL-000009,CLI-00009,AGE-0062,OBJ-000009,CLI-00009,Automóvil,Básica,Corporate Auto,Agente,2011-01-26,2011-01-26,2012-01-26,7100.0,85200.0,Activa,2,3,24127.5
POL-000010,CLI-00010,AGE-0060,OBJ-000010,CLI-00010,Automóvil,Extendida,Special Auto,Sucursal,2011-02-17,2011-02-17,2012-02-17,9300.0,111600.0,Baja,8,7,7388.18
POL-000011,CLI-00011,AGE-0052,OBJ-000011,CLI-00011,Automóvil,Básica,Personal Auto,Agente,2011-02-21,2011-02-21,2012-02-21,6700.0,80400.0,Activa,3,5,4738.99
POL-000012,CLI-00012,AGE-0041,OBJ-000012,CLI-00012,Automóvil,Básica,Personal Auto,Agente,2018-09-28,2018-09-28,2019-09-28,11000.0,132000.0,Activa,3,87,8197.2
POL-000013,CLI-00013,AGE-0031,OBJ-000013,CLI-00013,Automóvil,Premium,Corporate Auto,Agente,2019-04-26,2019-04-26,2020-04-25,11000.0,132000.0,Baja,3,82,8798.8
POL-000014,CLI-00014,AGE-0053,OBJ-000014,CLI-00014,Automóvil,Básica,Corporate Auto,Sucursal,2010-11-14,2010-11-14,2011-11-14,11000.0,132000.0,Activa,8,25,8819.02
POL-000015,CLI-00015,AGE-0022,OBJ-000015,CLI-00015,Automóvil,Básica,Corporate Auto,Call Center,2011-01-18,2011-01-18,2012-01-18,7000.0,84000.0,Activa,8,10,5384.43
