"categoria","centroide_lat","centroide_lon","fuente","id","iso_id","iso_nombre","nombre","nombre_completo"
"Ciudad Autónoma",-34.614442065,-58.445876325,"IGN","02","AR-C","Ciudad Autónoma de Buenos Aires","Ciudad Autónoma de Buenos Aires","Ciudad Autónoma de Buenos Aires"
"Provincia",-38.641982863,-70.119897224,"IGN","58","AR-Q","Neuquén","Neuquén","Provincia del Neuquén"
"Provincia",-33.761103538,-66.025231271,"IGN","74","AR-D","San Luis","San Luis","Provincia de San Luis"
"Provincia",-30.708822709,-60.950687277,"IGN","82","AR-S","Santa Fe","Santa Fe","Provincia de Santa Fe"
"Provincia",-29.684937278,-67.181757581,"IGN","46","AR-F","La Rioja","La Rioja","Provincia de La Rioja"
"Provincia",-27.335953796,-66.947897245,"IGN","10","AR-K","Catamarca","Catamarca","Provincia de Catamarca"
"Provincia",-26.948283502,-65.36476558,"IGN","90","AR-T","Tucumán","Tucumán","Provincia de Tucumán"
"Provincia",-26.386987184,-60.76511626,"IGN","22","AR-H","Chaco","Chaco","Provincia del Chaco"
"Provincia",-24.895087176,-59.932190112,"IGN","34","AR-P","Formosa","Formosa","Provincia de Formosa"
"Provincia",-48.815547183,-69.955761914,"IGN","78","AR-Z","Santa Cruz","Santa Cruz","Provincia de Santa Cruz"
"Provincia",-43.788627139,-68.526736334,"IGN","26","AR-U","Chubut","Chubut","Provincia del Chubut"
"Provincia",-34.630388707,-68.582945602,"IGN","50","AR-M","Mendoza","Mendoza","Provincia de Mendoza"
"Provincia",-32.058927894,-59.201262616,"IGN","30","AR-E","Entre Ríos","Entre Ríos","Provincia de Entre Ríos"
"Provincia",-30.865660702,-68.888159707,"IGN","70","AR-J","San Juan","San Juan","Provincia de San Juan"
"Provincia",-23.319975062,-65.764423919,"IGN","38","AR-Y","Jujuy","Jujuy","Provincia de Jujuy"
"Provincia",-27.783431882,-63.252626886,"IGN","86","AR-G","Santiago del Estero","Santiago del Estero","Provincia de Santiago del Estero"
"Provincia",-40.405079631,-67.2296758,"IGN","62","AR-R","Río Negro","Río Negro","Provincia de Río Negro"
"Provincia",-28.774204481,-57.80108186,"IGN","18","AR-W","Corrientes","Corrientes","Provincia de Corrientes"
"Provincia",-26.875302599,-54.651570563,"IGN","54","AR-N","Misiones","Misiones","Provincia de Misiones"
"Provincia",-24.299283896,-64.814158657,"IGN","66","AR-A","Salta","Salta","Provincia de Salta"
"Provincia",-32.144799387,-63.801973467,"IGN","14","AR-X","Córdoba","Córdoba","Provincia de Córdoba"
"Provincia",-36.677392076,-60.558477108,"IGN","06","AR-B","Buenos Aires","Buenos Aires","Provincia de Buenos Aires"
"Provincia",-37.135065221,-65.447643999,"IGN","42","AR-L","La Pampa","La Pampa","Provincia de La Pampa"
"Provincia",-82.521134521,-50.742860676,"IGN","94","AR-V","Tierra del Fuego","Tierra del Fuego, Antártida e Islas del Atlántico Sur","Provincia de Tierra del Fuego, Antártida e Islas del Atlántico Sur"
